1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,3.200000000000000000e+01,3.400000000000000000e+01
1.700000000000000000e+01,8.400000000000000000e+01,4.800000000000000000e+01
7.100000000000000000e+01,1.420000000000000000e+02,2.000000000000000000e+00
2.100000000000000000e+01,2.200000000000000000e+02,4.600000000000000000e+01
3.000000000000000000e+01,3.360000000000000000e+02,4.800000000000000000e+01
4.000000000000000000e+01,4.760000000000000000e+02,7.400000000000000000e+01
3.030000000000000000e+02,6.060000000000000000e+02,7.000000000000000000e+00
1.340000000000000000e+02,7.560000000000000000e+02,8.900000000000000000e+01
1.680000000000000000e+02,9.600000000000000000e+02,8.600000000000000000e+01
